property_id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,sqft,lot_size,year_built,garage,property_type,condition,school_rating,crime_rate,walkability_score,public_transport_access,shopping_proximity,actual_price,listed_price,date_listed,date_sold,days_on_market,data_source,price_per_sqft,age,bed_bath_ratio,total_rooms
PROP_000011,98533 Mary Mountain Apt. 351,Seattle,WA,44764,47.53231,-122.2093,1,2,2161,2009,2015,2,Condo,Needs Work,6.1,1.8,52.5,1,2,742793,848451,2023-09-28,2023-10-07,9,Realtor.com,343.72651550208235,9,0.5,3
PROP_000012,4680 Adams Street,Denver,CO,56263,39.713471,-105.084249,1,1,2398,3133,1962,1,Condo,Good,8.5,5.6,88.6,8,9,516069,579644,2024-04-21,2024-05-06,15,Zillow,215.20809007506256,62,1.0,2
PROP_000013,63359 Navarro Forks,Denver,CO,35237,39.745986,-105.05977,2,3,2346,13004,2020,2,Duplex,Needs Work,4.4,18.7,63.5,9,8,663623,717491,2024-03-08,2024-03-27,19,MLS,282.8742540494459,4,0.6666666666666666,5
PROP_000014,3781 Kathryn Garden Suite 159,Austin,TX,85160,30.317662,-97.776989,1,2,643,3163,2002,0,Condo,Good,9.6,11.1,57.0,2,1,289166,309993,2025-06-07,2025-06-14,7,Realtor.com,449.7138413685848,22,0.5,3
PROP_000015,822 Davis Alley,San Francisco,CA,37355,37.721424,-122.486769,2,3,1594,11355,1956,3,Condo,Good,3.7,10.7,85.8,8,7,686665,785237,2024-08-20,2024-08-31,11,Zillow,430.7810539523212,68,0.6666666666666666,5
PROP_000016,468 Velez Lodge Suite 624,San Francisco,CA,87602,37.74111,-122.413616,5,3,2934,12706,2015,0,Single Family,Excellent,7.2,3.9,60.8,7,6,1522736,1607121,2024-01-19,2024-01-26,7,MLS,518.9965916837083,9,1.6666666666666667,8
PROP_000017,5359 Simon Oval Apt. 681,Austin,TX,39013,30.228036,-97.781651,1,3,1518,3235,2021,3,Condo,Excellent,7.5,30.8,88.2,1,9,435406,477319,2024-05-10,2024-06-06,27,MLS,286.82872200263506,3,0.3333333333333333,4
PROP_000018,7106 Hudson Knolls,San Francisco,CA,51318,37.748136,-122.413535,1,2,1594,4697,2005,3,Condo,Excellent,7.5,24.7,58.8,7,5,908403,1035802,2024-07-15,2024-07-22,7,Direct,569.8889585947302,19,0.5,3
PROP_000019,17484 Reed Ranch Suite 713,Denver,CO,90928,39.711154,-104.956318,4,3,2404,6861,1983,1,Duplex,Excellent,9.0,29.6,59.2,10,9,770772,821242,2025-01-16,2025-01-27,11,MLS,320.6206322795341,41,1.3333333333333333,7
PROP_000020,42198 Jacob View,Denver,CO,81830,39.783877,-104.993775,2,4,3259,10320,1982,0,Single Family,Good,6.0,1.9,74.1,2,10,804737,849551,2024-05-04,2024-05-13,9,MLS,246.92758514881865,42,0.5,6
PROP_000021,610 Chad Mall Suite 121,Austin,TX,62031,30.315784,-97.796026,2,3,1304,12770,2004,2,Duplex,Fair,4.6,53.5,93.1,4,6,270474,286216,2025-06-15,2025-06-24,9,Zillow,207.41871165644173,20,0.6666666666666666,5
PROP_000022,70363 Steven Parkway Suite 918,Denver,CO,31186,39.659999,-105.036765,2,3,2121,3188,1957,0,Duplex,Needs Work,6.4,14.1,51.8,10,10,526708,592644,2025-01-14,2025-01-23,9,MLS,248.33003300330034,67,0.6666666666666666,5
PROP_000023,91833 Robert Key Apt. 976,San Francisco,CA,25599,37.793326,-122.411914,3,2,871,8054,2020,2,Condo,Good,5.4,10.1,56.6,8,9,708555,806284,2023-10-01,2023-10-09,8,Realtor.com,813.49598163031,4,1.5,5
PROP_000024,4726 Holmes Knoll,Seattle,WA,83027,47.520717,-122.224375,6,3,3917,3753,2014,1,Single Family,Fair,8.0,6.9,93.1,5,10,1858633,2000719,2025-07-19,2025-08-01,13,Zillow,474.5042124074547,10,2.0,9
PROP_000025,9051 Patricia Track,Denver,CO,45086,39.652797,-105.002294,3,3,2346,2832,1967,0,Condo,Needs Work,5.5,3.1,83.5,5,1,627899,716140,2025-02-14,2025-03-02,16,MLS,267.6466325660699,57,1.0,6
PROP_000026,205 Mendez Turnpike Apt. 326,Denver,CO,57317,39.748246,-104.989664,3,2,930,2158,1953,0,Condo,Excellent,5.5,10.8,78.0,3,9,225612,246542,2024-02-18,2024-02-25,7,MLS,242.59354838709677,71,1.5,5
PROP_000027,81495 Brittany Summit Apt. 501,Denver,CO,04194,39.661652,-104.920204,2,1,685,2653,2012,2,Condo,Good,7.7,2.2,61.8,4,2,267443,302107,2025-01-15,2025-02-14,30,Realtor.com,390.4277372262774,12,2.0,3
PROP_000028,74873 Rebecca Stream,Seattle,WA,09045,47.685153,-122.352653,4,3,1116,4900,2019,3,Duplex,Excellent,5.9,4.5,85.9,3,6,665098,709161,2025-06-03,2025-06-16,13,Direct,595.9659498207885,5,1.3333333333333333,7
PROP_000029,85414 Phillip Lakes,Austin,TX,82020,30.276508,-97.796128,2,3,1221,5269,2004,3,Townhouse,Fair,5.9,34.1,60.9,5,4,379016,415806,2023-12-24,2024-01-02,9,Zillow,310.4144144144144,20,0.6666666666666666,5
PROP_000030,34531 Peters Roads Apt. 341,San Francisco,CA,63643,37.786435,-122.403311,2,2,1170,12510,1993,3,Condo,Fair,8.1,19.4,77.4,1,2,885292,954268,2024-05-22,2024-05-28,6,Realtor.com,756.659829059829,31,1.0,4
PROP_000031,5252 Aaron Groves,Austin,TX,01447,30.286913,-97.727145,2,1,2221,11932,1976,0,Townhouse,Needs Work,7.0,0.1,81.9,10,4,549884,594626,2025-01-19,2025-01-25,6,Realtor.com,247.5839711841513,48,2.0,3
PROP_000032,266 Eric Gateway,San Francisco,CA,93441,37.780651,-122.431314,2,3,2695,14075,1976,1,Duplex,Fair,5.1,11.9,86.0,7,2,1410556,1613713,2024-11-11,2024-11-19,8,Realtor.com,523.3974025974026,48,0.6666666666666666,5
PROP_000033,11659 Adams Square,Seattle,WA,58636,47.680009,-122.298575,4,1,2474,7344,2013,3,Townhouse,Fair,5.0,20.6,42.4,9,3,978759,1092970,2023-10-19,2023-11-04,16,Zillow,395.61802748585285,11,4.0,5
PROP_000034,6042 Mason Summit,Atlanta,GA,95281,33.652208,-84.386179,4,3,2648,2006,2006,2,Duplex,Fair,7.3,1.5,37.6,4,7,504642,550366,2024-08-08,2024-08-16,8,Realtor.com,190.57477341389728,18,1.3333333333333333,7
PROP_000035,6982 Mendoza Manors,Atlanta,GA,45305,33.753352,-84.341253,3,3,1237,14057,2023,1,Duplex,Excellent,8.3,15.0,60.2,5,9,375532,430353,2023-10-14,2023-10-28,14,Realtor.com,303.5828617623282,1,1.0,6
PROP_000036,742 Davis Loaf Suite 231,San Francisco,CA,85884,37.780656,-122.485265,3,2,1060,9784,2002,0,Condo,Needs Work,9.4,3.3,45.7,7,10,946331,998021,2025-02-16,2025-02-22,6,Zillow,892.7650943396227,22,1.5,5
PROP_000037,092 Matthew Mews Suite 969,Atlanta,GA,17510,33.796817,-84.498891,3,1,1102,14616,2010,0,Duplex,Needs Work,6.3,51.0,79.8,4,3,245516,276229,2025-08-09,2025-09-02,24,Direct,222.7912885662432,14,3.0,4
PROP_000038,90807 Chad Pass Suite 736,San Francisco,CA,09332,37.780142,-122.433242,1,2,873,11755,1991,2,Condo,Needs Work,3.5,2.8,79.2,10,9,424688,487877,2023-09-27,2023-10-14,17,Direct,486.46964490263457,33,0.5,3
PROP_000039,0255 Elliott Trafficway Apt. 303,Seattle,WA,30700,47.594935,-122.348162,2,3,2564,12447,2006,2,Duplex,Needs Work,7.0,69.2,48.8,4,5,909380,977333,2025-07-19,2025-08-13,25,Direct,354.6723868954758,18,0.6666666666666666,5
PROP_000040,39794 Ward Mills,San Francisco,CA,61938,37.731971,-122.445985,2,2,1687,5788,2014,3,Townhouse,Good,4.2,17.9,45.8,4,2,975046,1037291,2024-04-04,2024-04-13,9,Direct,577.9762892708951,10,1.0,4
PROP_000041,255 Jeremiah Camp Suite 404,Atlanta,GA,28228,33.61868,-84.333422,4,2,1851,14612,2017,0,Townhouse,Needs Work,7.1,36.7,70.1,8,1,487890,531286,2025-05-16,2025-06-06,21,Realtor.com,263.581847649919,7,2.0,6
PROP_000042,52307 Joan Stream,Denver,CO,21108,39.746927,-104.940026,3,3,2330,9999,2010,1,Duplex,Fair,10.0,18.2,69.6,7,8,812368,925922,2024-09-15,2024-09-24,9,MLS,348.6557939914163,14,1.0,6
PROP_000043,64501 Denise Falls,Atlanta,GA,14143,33.721295,-84.466991,4,3,2634,4091,1995,0,Townhouse,Needs Work,6.8,0.5,47.9,10,10,737862,809242,2024-02-15,2024-02-24,9,MLS,280.12984054669704,29,1.3333333333333333,7
PROP_000044,5469 James Mountains,San Francisco,CA,47439,37.705028,-122.46209,2,2,1172,7355,2007,2,Duplex,Needs Work,2.8,0.5,47.1,5,7,567017,607369,2024-04-30,2024-05-13,13,Realtor.com,483.8029010238908,17,1.0,4
PROP_000045,044 Ward Estate,San Francisco,CA,63431,37.705209,-122.404808,2,3,1904,3124,2015,0,Duplex,Excellent,7.6,1.3,39.6,4,4,1066196,1143413,2024-01-18,2024-01-31,13,MLS,559.9768907563025,9,0.6666666666666666,5
PROP_000046,6502 Johnson Highway Suite 082,Seattle,WA,42212,47.633892,-122.287206,1,1,1569,13460,2010,2,Condo,Fair,5.2,19.4,65.3,3,10,523865,561477,2024-08-29,2024-09-07,9,MLS,333.8846398980242,14,1.0,2
PROP_000047,64770 Williams Springs Apt. 908,Austin,TX,43896,30.385777,-97.74242,2,3,1052,8149,2016,3,Townhouse,Good,5.6,1.2,31.6,2,10,359435,410045,2024-02-24,2024-03-05,10,Zillow,341.6682509505703,8,0.6666666666666666,5
PROP_000048,5867 Adams Meadows Apt. 389,San Francisco,CA,68651,37.712106,-122.401616,4,3,2649,7688,1977,3,Townhouse,Fair,8.2,2.6,71.4,2,9,1081633,1220367,2025-09-03,2025-09-20,17,Realtor.com,408.31747829369573,47,1.3333333333333333,7
PROP_000049,649 Nathan Inlet,San Francisco,CA,89027,37.796079,-122.436441,3,1,1687,13588,2011,1,Duplex,Needs Work,7.3,14.2,98.0,3,9,770464,872836,2025-08-24,2025-09-03,10,Realtor.com,456.70657972732664,13,3.0,4
PROP_000050,5944 Anthony Walks,Seattle,WA,59462,47.646205,-122.346321,3,2,2491,3419,2015,2,Duplex,Needs Work,5.5,0.2,60.3,4,8,1119077,1270344,2023-09-10,2023-09-16,6,Direct,449.24809313528704,9,1.5,5
PROP_000051,78689 Sean Ports Apt. 331,Denver,CO,94095,39.69751,-105.029035,5,3,1944,6581,2002,2,Single Family,Excellent,3.9,8.5,62.9,9,4,777377,836329,2025-06-05,2025-06-20,15,MLS,399.8852880658436,22,1.6666666666666667,8
PROP_000052,7369 Bonilla Circles Apt. 816,Austin,TX,96367,30.248065,-97.752391,3,3,2352,9342,1959,0,Duplex,Excellent,3.6,7.0,66.2,5,4,731068,819661,2025-01-04,2025-01-28,24,Direct,310.828231292517,65,1.0,6
PROP_000053,21201 Raymond Field,Austin,TX,55153,30.294652,-97.746908,4,3,1755,14221,2011,2,Townhouse,Fair,6.1,13.2,66.2,8,5,562252,614289,2024-05-31,2024-06-10,10,Realtor.com,320.37150997150997,13,1.3333333333333333,7
PROP_000054,74468 Ricky Roads,Denver,CO,66922,39.66311,-104.951424,1,3,994,13307,2010,1,Condo,Good,7.8,9.2,78.7,4,8,390448,447097,2024-06-07,2024-06-17,10,Realtor.com,392.8048289738431,14,0.3333333333333333,4
PROP_000055,2467 Paul Prairie Apt. 151,Seattle,WA,54630,47.545497,-122.364112,2,1,1606,10751,2022,1,Townhouse,Fair,5.5,5.8,69.2,1,1,531673,559009,2024-01-08,2024-01-15,7,Realtor.com,331.0541718555417,2,2.0,3
PROP_000056,477 Jack Fork,Austin,TX,60659,30.256868,-97.752129,2,1,1975,2841,2012,2,Duplex,Needs Work,8.2,14.9,72.2,2,2,599764,650186,2024-11-15,2024-12-06,21,Direct,303.6779746835443,12,2.0,3
PROP_000057,999 Dan Isle Apt. 644,Atlanta,GA,51050,33.644759,-84.387432,6,1,1821,6066,1988,0,Single Family,Needs Work,7.6,24.7,50.8,10,10,453193,489622,2025-04-21,2025-05-01,10,Zillow,248.87040087863812,36,6.0,7
PROP_000058,416 Teresa Row Suite 742,Seattle,WA,41657,47.672033,-122.201994,3,2,1408,12174,2016,0,Duplex,Excellent,6.7,6.3,96.1,4,4,615235,664785,2025-02-10,2025-03-01,19,Realtor.com,436.9566761363636,8,1.5,5
PROP_000059,52975 Nathan Ways Apt. 534,San Francisco,CA,44091,37.707506,-122.499732,1,1,1730,11729,1968,3,Condo,Fair,6.5,26.3,83.6,1,4,801354,877523,2025-06-29,2025-07-09,10,Realtor.com,463.21040462427743,56,1.0,2
PROP_000060,74194 Anthony Views,Denver,CO,55169,39.784782,-104.942434,2,3,1278,12832,1952,1,Duplex,Needs Work,5.9,35.4,59.6,2,9,301387,335294,2025-05-30,2025-07-03,34,Zillow,235.82707355242567,72,0.6666666666666666,5
PROP_000061,13086 Christine Glen Apt. 274,Austin,TX,55133,30.233185,-97.769239,2,1,1122,11325,2022,2,Townhouse,Needs Work,10.0,8.9,86.3,2,8,385735,433911,2025-06-10,2025-06-26,16,Realtor.com,343.79233511586455,2,2.0,3
PROP_000062,7111 Jordan Forge,Atlanta,GA,69306,33.731328,-84.380393,4,3,2011,14034,2015,2,Townhouse,Fair,4.1,23.5,51.0,1,2,437579,498377,2025-05-09,2025-05-22,13,Zillow,217.5927399303829,9,1.3333333333333333,7
PROP_000063,7845 Pacheco Trail Apt. 083,Seattle,WA,36702,47.651254,-122.3059,4,1,4325,6557,1999,1,Single Family,Needs Work,5.9,1.9,81.1,8,2,1475527,1645435,2025-05-16,2025-05-31,15,Direct,341.16231213872834,25,4.0,5
PROP_000064,24643 Jacqueline Ports Apt. 294,Denver,CO,81246,39.62092,-105.067835,3,2,2172,10117,1968,2,Duplex,Needs Work,5.4,1.3,56.3,9,1,556082,606777,2025-08-20,2025-09-11,22,Direct,256.0230202578269,56,1.5,5
PROP_000065,629 Bruce Ferry Suite 131,San Francisco,CA,90155,37.797018,-122.459582,3,2,1237,2018,2013,3,Townhouse,Needs Work,8.8,44.1,55.5,1,4,799553,880676,2024-02-08,2024-02-28,20,Realtor.com,646.3645917542441,11,1.5,5
PROP_000066,8544 Teresa Spurs,Seattle,WA,47485,47.510322,-122.346589,4,2,2356,6719,2006,3,Duplex,Needs Work,6.1,8.3,59.0,2,1,883805,939574,2025-08-11,2025-08-23,12,Zillow,375.1294567062818,18,2.0,6
PROP_000067,9788 Hubbard Brook Suite 123,Austin,TX,96870,30.281598,-97.77753,4,1,2131,3858,1961,3,Townhouse,Excellent,9.0,13.1,80.4,3,8,598096,678325,2024-06-05,2024-06-14,9,Realtor.com,280.6644767714688,63,4.0,5
PROP_000068,42588 Brooke Fields,Seattle,WA,12193,47.548746,-122.289747,3,2,1967,11820,2019,1,Townhouse,Excellent,7.3,3.8,66.4,5,7,928081,1010085,2025-08-16,2025-10-08,53,Realtor.com,471.8256227758007,5,1.5,5
PROP_000069,336 Sarah Corner Suite 517,Seattle,WA,99616,47.559711,-122.282612,2,2,2486,10022,1964,1,Townhouse,Needs Work,7.4,11.1,66.1,9,8,986070,1133872,2025-09-05,2025-09-16,11,Realtor.com,396.64923572003215,60,1.0,4
PROP_000070,3647 Lynn Keys Suite 844,Denver,CO,06935,39.63773,-104.9605,3,2,2580,5826,2009,3,Duplex,Excellent,8.4,13.2,62.8,6,8,885591,980508,2025-05-29,2025-06-13,15,Direct,343.2523255813953,15,1.5,5
PROP_000071,433 Troy Forest,Atlanta,GA,03607,33.750687,-84.381964,2,1,858,9213,1987,0,Condo,Needs Work,6.2,6.5,37.9,1,3,159850,181745,2025-02-28,2025-04-09,40,Direct,186.30536130536132,37,2.0,3
PROP_000072,8259 Stephanie Courts,Austin,TX,84891,30.324652,-97.760252,5,3,2586,7383,2023,3,Single Family,Fair,6.8,18.0,26.7,8,9,812699,859862,2024-09-18,2024-10-09,21,MLS,314.26875483372004,1,1.6666666666666667,8
PROP_000073,58738 Jeremy Lane,Seattle,WA,66625,47.649353,-122.313206,3,3,2131,12383,2012,0,Single Family,Needs Work,8.0,8.1,94.5,3,5,1079551,1144156,2024-08-23,2024-10-09,47,MLS,506.5936180197091,12,1.0,6
PROP_000074,5527 Baker Gardens,San Francisco,CA,88751,37.737484,-122.485443,2,2,1734,11272,1975,1,Townhouse,Good,5.6,13.5,71.8,3,2,772955,852659,2025-01-07,2025-01-30,23,Direct,445.7641291810842,49,1.0,4
PROP_000075,8090 Tiffany Views Apt. 518,Seattle,WA,78635,47.546438,-122.272419,2,3,893,12925,2018,0,Condo,Needs Work,1.6,4.8,47.0,5,9,401626,440164,2023-11-19,2023-12-08,19,Zillow,449.7491601343785,6,0.6666666666666666,5
PROP_000076,83038 Courtney Camp Suite 615,San Francisco,CA,38340,37.763894,-122.457569,3,3,1412,6949,2022,1,Duplex,Needs Work,6.6,28.4,58.7,8,2,695613,747791,2024-02-22,2024-02-29,7,Zillow,492.64376770538246,2,1.0,6
PROP_000077,43098 Gardner Turnpike Apt. 557,Atlanta,GA,83630,33.688569,-84.304411,4,2,2432,6497,2022,0,Townhouse,Excellent,3.8,16.7,75.7,10,8,389295,434384,2025-03-10,2025-03-17,7,Realtor.com,160.0719572368421,2,2.0,6
PROP_000078,9333 Elliott Rapid,Austin,TX,05049,30.324178,-97.732224,2,3,1389,12800,2011,1,Townhouse,Excellent,9.1,11.0,67.3,1,5,609118,683487,2024-03-27,2024-04-20,24,Direct,438.52987760979124,13,0.6666666666666666,5
PROP_000079,1014 Lopez Springs,San Francisco,CA,55273,37.790963,-122.467328,4,1,1184,5289,2006,1,Townhouse,Fair,8.6,7.7,68.3,9,9,972933,1062006,2024-11-20,2024-12-07,17,Realtor.com,821.7339527027027,18,4.0,5
PROP_000080,212 Garcia Island,Austin,TX,40813,30.374079,-97.719577,3,2,2528,3233,1982,1,Townhouse,Good,9.2,2.2,30.4,7,9,833441,914146,2024-01-20,2024-01-31,11,Realtor.com,329.6839398734177,42,1.5,5
PROP_000081,290 Garcia Ports Suite 996,San Francisco,CA,59221,37.712359,-122.463141,2,2,1898,6295,2020,3,Duplex,Fair,6.9,23.0,21.6,2,4,1240265,1395176,2023-09-12,2023-10-06,24,Direct,653.4589041095891,4,1.0,4
PROP_000082,4542 Sarah Hill Suite 988,San Francisco,CA,64808,37.706322,-122.417614,4,1,2326,6951,2022,3,Townhouse,Excellent,3.7,2.4,64.7,3,1,1313275,1498367,2023-12-06,2023-12-14,8,MLS,564.6066208082545,2,4.0,5
PROP_000083,486 Figueroa Underpass Apt. 418,Denver,CO,60533,39.777452,-105.072867,2,1,1280,12985,2000,3,Duplex,Good,6.5,6.0,73.1,7,2,308860,338314,2025-07-31,2025-08-06,6,Direct,241.296875,24,2.0,3
PROP_000084,9395 Russell Groves,Seattle,WA,75308,47.574106,-122.311323,3,1,2213,7942,1972,0,Duplex,Fair,7.8,2.1,43.0,9,6,824316,943887,2024-02-23,2024-03-04,10,MLS,372.4880253050158,52,3.0,4
PROP_000085,792 Ramirez Green,Atlanta,GA,28467,33.85441,-84.409057,2,1,2943,12513,2020,0,Townhouse,Excellent,10.0,2.8,58.6,6,4,558496,623436,2025-08-27,2025-09-03,7,Zillow,189.77098199116548,4,2.0,3
PROP_000086,4295 Torres Ford Apt. 410,Seattle,WA,39771,47.617277,-122.237389,1,3,1024,14687,1966,1,Condo,Excellent,4.9,1.9,36.3,5,3,289516,310738,2025-06-15,2025-06-25,10,Zillow,282.73046875,58,0.3333333333333333,4
PROP_000087,99733 Waters Creek,Seattle,WA,95572,47.67329,-122.373639,2,1,2353,14917,2003,1,Townhouse,Fair,6.3,24.1,65.8,1,3,694040,753605,2025-01-03,2025-01-28,25,Realtor.com,294.9596260093498,21,2.0,3
PROP_000088,13545 Stefanie Corner,San Francisco,CA,74270,37.711365,-122.493644,3,2,1677,7931,2021,0,Condo,Needs Work,6.9,0.9,82.0,9,4,925363,1013112,2024-09-10,2024-09-29,19,MLS,551.7966607036375,3,1.5,5
PROP_000089,447 Patricia Common,Seattle,WA,07618,47.50623,-122.200283,3,3,2974,8984,1979,0,Townhouse,Needs Work,5.4,9.9,40.4,8,2,736076,835247,2024-09-05,2024-09-16,11,MLS,247.50369872225957,45,1.0,6
PROP_000090,386 Bowers Pine,Denver,CO,49136,39.724863,-104.982927,1,1,1163,8240,2014,2,Condo,Needs Work,9.2,0.6,82.0,9,10,363888,407997,2025-03-01,2025-03-28,27,Direct,312.88736027515046,10,1.0,2
PROP_000091,4292 Arnold Expressway,San Francisco,CA,00555,37.745155,-122.477151,6,2,2961,9430,2003,3,Single Family,Needs Work,4.6,8.9,66.6,2,6,1160267,1257606,2024-02-28,2024-03-07,8,Direct,391.8497129348193,21,3.0,8
PROP_000092,08046 Robert Corners,Denver,CO,30985,39.784597,-105.086573,3,1,2406,3527,1995,3,Townhouse,Excellent,6.9,0.3,43.8,6,3,580836,658190,2024-11-25,2024-12-04,9,MLS,241.41147132169576,29,3.0,4
PROP_000093,86836 Sandra Fields,Seattle,WA,68639,47.57072,-122.266932,4,1,1841,13813,1971,0,Townhouse,Fair,6.9,17.0,83.2,10,5,707425,795873,2025-06-27,2025-07-03,6,Realtor.com,384.2612710483433,53,4.0,5
PROP_000094,839 Bryan Dale Apt. 945,San Francisco,CA,20519,37.722424,-122.489178,1,3,1587,8022,2005,0,Condo,Fair,9.5,13.3,56.2,10,4,1179594,1338293,2025-04-11,2025-04-18,7,Direct,743.2854442344045,19,0.3333333333333333,4
PROP_000095,214 Larsen Walk,Seattle,WA,30242,47.536083,-122.25946,6,3,1318,7567,1988,2,Single Family,Excellent,9.3,12.7,38.8,3,3,629448,680369,2024-03-28,2024-04-04,7,Direct,477.57814871016694,36,2.0,9
PROP_000096,933 Gregory Corners,San Francisco,CA,75234,37.709176,-122.446952,3,3,662,9432,1975,2,Condo,Good,7.6,4.2,57.4,6,5,531132,577669,2025-03-10,2025-03-19,9,Realtor.com,802.3141993957704,49,1.0,6
PROP_000097,3848 Tracey Burgs,Seattle,WA,82136,47.650887,-122.390048,2,2,1844,9259,1977,3,Single Family,Needs Work,1.5,60.6,78.7,10,8,562204,594901,2025-06-10,2025-07-19,39,Direct,304.882863340564,47,1.0,4
PROP_000098,3908 Roberts Squares Apt. 523,Denver,CO,02428,39.685983,-105.043351,3,1,1306,9972,2019,2,Condo,Excellent,4.7,25.5,50.5,4,7,362179,404861,2023-10-17,2023-11-02,16,MLS,277.31929555895863,5,3.0,4
PROP_000099,74531 Donna Ford Suite 427,San Francisco,CA,42058,37.713723,-122.474448,2,1,2171,2126,2021,3,Condo,Needs Work,10.0,4.9,97.4,3,3,1151304,1246646,2024-07-12,2024-07-21,9,Direct,530.3104560110548,3,2.0,3
PROP_000100,8385 Elizabeth Keys,Seattle,WA,64686,47.63361,-122.329167,3,3,2306,14157,1998,0,Condo,Needs Work,7.6,10.6,55.8,1,8,851102,927452,2024-05-12,2024-05-26,14,MLS,369.081526452732,26,1.0,6
PROP_000101,57259 Brooks Unions Apt. 098,Denver,CO,47956,39.728028,-105.042097,4,2,2253,7321,1988,1,Duplex,Needs Work,4.2,9.8,70.4,6,2,558458,609000,2024-10-19,2024-10-28,9,Direct,247.87305814469596,36,2.0,6
PROP_000102,13636 Carter Islands,San Francisco,CA,47800,37.752396,-122.460423,2,3,1420,7562,1973,1,Condo,Fair,6.6,1.0,53.0,3,2,808725,874254,2024-03-11,2024-03-27,16,MLS,569.5246478873239,51,0.6666666666666666,5
PROP_000103,07368 Jennifer Forge,Seattle,WA,77768,47.691645,-122.270911,2,2,2089,3684,2015,1,Condo,Fair,5.1,8.0,100.0,4,3,802696,854686,2024-01-21,2024-02-12,22,Zillow,384.2489229296314,9,1.0,4
PROP_000104,543 James Mountain,San Francisco,CA,56471,37.775445,-122.424012,3,2,1550,11248,2022,2,Condo,Fair,6.1,2.0,68.4,3,8,928727,1016855,2024-01-27,2024-02-03,7,MLS,599.1787096774193,2,1.5,5
PROP_000105,341 Nelson Forge Apt. 917,Atlanta,GA,15659,33.682402,-84.488766,4,2,2430,7085,1963,3,Duplex,Needs Work,7.5,27.7,96.6,1,1,531964,585550,2023-11-21,2023-11-29,8,Realtor.com,218.91522633744856,61,2.0,6
PROP_000106,8806 Yu Court,Denver,CO,36799,39.716066,-104.909154,2,4,3095,2672,1976,3,Single Family,Good,5.7,2.7,75.9,6,10,893916,1004665,2025-02-02,2025-02-15,13,Direct,288.8258481421648,48,0.5,6
PROP_000107,103 Adam Squares,Seattle,WA,93062,47.662193,-122.232525,1,2,811,3381,1994,1,Condo,Excellent,6.0,25.4,84.0,4,8,228469,262337,2025-08-21,2025-09-01,11,Direct,281.7127003699137,30,0.5,3
